### GO-terms (molecular_function)
GO:0016740	GO:0005488	GO:0005198	GO:0003824	GO:0003676	GO:0016787	GO:0000166	GO:0003723	GO:0005515	GO:0008289	GO:0003677
### GO-names (molecular_function)
transferase activity	binding	structural molecule activity	catalytic activity	nucleic acid binding	hydrolase activity	nucleotide binding	RNA binding	protein binding	lipid binding	DNA binding
### GO-terms (biological_process)
GO:0007049	GO:0019538	GO:0008152	GO:0009628	GO:0009416	GO:0009987	GO:0006412	GO:0009058	GO:0015979
### GO-names (biological_process)
cell cycle	protein metabolic process	metabolic process	response to abiotic stimulus	response to light stimulus	cellular process	translation	biosynthetic process	photosynthesis
### GO-terms (cellular_component)
GO:0016020	GO:0009579	GO:0005829	GO:0009536	GO:0005634	GO:0005886	GO:0009507	GO:0005783	GO:0005622	GO:0005739	GO:0005730	GO:0005576	GO:0005737	GO:0005654	GO:0005840	GO:0005856
### GO-names (cellular_component)
membrane	thylakoid	cytosol	plastid	nucleus	plasma membrane	chloroplast	endoplasmic reticulum	intracellular anatomical structure	mitochondrion	nucleolus	extracellular region	cytoplasm	nucleoplasm	ribosome	cytoskeleton
### PDB-chain	GO-terms (molecular_function)	GO-terms (biological_process)	GO-terms (cellular_component)
1H64-1	GO:0003676,GO:0005488,GO:0003723		
3J6X-68	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005840
3J6X-30		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
8IYJ-5	GO:0003824,GO:0016740,GO:0005488,GO:0000166		GO:0016020,GO:0005886,GO:0005622,GO:0005576,GO:0005737,GO:0005856
6O9M-5	GO:0005515,GO:0005488		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
2WCC-3	GO:0003676,GO:0003677,GO:0005488		
7Y1A-1		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
6IGZ-4		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
7PFO-7	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
7NHP-2		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
6ZMW-2	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005622
5GAN-6	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737
5IMR-2	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
5GAN-7	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737
7UNF-1	GO:0005515,GO:0005488		GO:0005737,GO:0005886,GO:0016020,GO:0005622
5NDJ-49	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7ML4-5	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
8GZU-83			GO:0005737,GO:0016020,GO:0005739,GO:0005622
5FMF-1	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0003677		
5A9Q-2	GO:0005515,GO:0005488	GO:0007049,GO:0009987	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
7TJY-7	GO:0003824,GO:0005488,GO:0016787,GO:0008289		GO:0005737,GO:0016020,GO:0005739,GO:0005622
8IYJ-7			GO:0016020,GO:0005886,GO:0005622,GO:0005737,GO:0005856
4W2E-4	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
2WSC-1	GO:0005515,GO:0005488	GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
6LSR-6	GO:0005515,GO:0005488	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
5X8P-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
5GUP-7			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7AS4-6	GO:0005515,GO:0005488		GO:0005829,GO:0005737,GO:0005856,GO:0005622
5ZGB-5		GO:0009987,GO:0008152,GO:0015979	GO:0009536,GO:0005737,GO:0016020,GO:0005622
7UNG-4	GO:0005515,GO:0005488		GO:0005576,GO:0005737,GO:0005856,GO:0005622
6FEC-7	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
4CE4-9		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
5GJR-6	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005576,GO:0005737,GO:0005654
7YMI-4		GO:0009987,GO:0008152,GO:0015979	GO:0016020
7YMI-8		GO:0009987,GO:0008152,GO:0015979	GO:0016020
8J07-7	GO:0005515,GO:0005488	GO:0009987	GO:0005737,GO:0005856,GO:0005622
7JU4-8	GO:0005488,GO:0000166		GO:0005737,GO:0005856,GO:0005622
8CXM-1	GO:0005515,GO:0005488,GO:0005198		GO:0005576
6KAD-5		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
7QV1-6	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
3J79-9		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
5MP9-7	GO:0005515,GO:0005488		GO:0005737,GO:0005634,GO:0016020,GO:0005622
3IZQ-1	GO:0005488,GO:0003824,GO:0016787,GO:0000166,GO:0005515	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005622
4Y4O-12		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
3J6X-66	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
6GYM-2	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005622
6WU9-5		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6FEC-2	GO:0003676,GO:0005488,GO:0003723		
8S9S-4	GO:0005515,GO:0005488		GO:0005783,GO:0016020,GO:0005737,GO:0005622
8D8K-6			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
7YMM-13		GO:0009987,GO:0008152,GO:0015979	GO:0016020
4L6V-8		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
8A57-2		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
4WJG-1	GO:0005515,GO:0005488		GO:0005829,GO:0005576,GO:0005737,GO:0005622
6FRK-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7ODR-4	GO:0005515,GO:0005488	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
8D9R-5	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0003723,GO:0005515		GO:0016020,GO:0005829,GO:0005886,GO:0005622,GO:0005737
6Z6U-1	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005576,GO:0005737
7EU3-1		GO:0009987,GO:0008152,GO:0015979	
5NRL-7	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737
6EPC-4			GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654
7A5I-53	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
8GZU-47			GO:0005737,GO:0016020,GO:0005622
5IY6-1	GO:0005515,GO:0005488		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
6QDV-8	GO:0003676,GO:0005488,GO:0003723		GO:0005737,GO:0005634,GO:0016020,GO:0005622
5KCR-12	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
4L6V-4	GO:0005515,GO:0005488	GO:0009987,GO:0008152,GO:0015979	
6XTX-3	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
5MP9-4	GO:0005515,GO:0005488		GO:0005737,GO:0005634,GO:0016020,GO:0005622
8ETH-5			GO:0005634,GO:0016020,GO:0005730,GO:0005622
7A5F-13		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6YWX-55			GO:0005737,GO:0016020,GO:0005739,GO:0005622
2J28-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
6RAW-6	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0005634,GO:0016020,GO:0005622
7WUG-5	GO:0005515,GO:0005488		GO:0005737,GO:0005634,GO:0016020,GO:0005622
5ADY-7	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
7YMI-1		GO:0009987,GO:0008152,GO:0015979	GO:0016020
6NHJ-1	GO:0005515,GO:0005488,GO:0005198		
6GCS-9			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7DZ7-7		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
6TT7-6	GO:0005488,GO:0008289		GO:0005737,GO:0016020,GO:0005739,GO:0005622
5KPS-1	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
6B2Z-5	GO:0005488,GO:0008289		GO:0016020,GO:0005829,GO:0005622,GO:0005739,GO:0005737
3J7Y-5	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
5LN3-3	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
6QX9-43	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
3J6X-67		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
8FN4-2	GO:0005515,GO:0005488,GO:0003676,GO:0003723		
7PT6-9	GO:0003676,GO:0003677,GO:0005488,GO:0005515	GO:0007049,GO:0009987	GO:0005737,GO:0005634,GO:0016020,GO:0005622
7BQX-5	GO:0003676,GO:0003677,GO:0005488		
4N9F-1	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020
6FRK-4		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6YWE-6			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
4WQ1-21	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7ABI-7	GO:0005488,GO:0003676,GO:0003723,GO:0005515,GO:0003677		GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654
7ZSG-1	GO:0005515,GO:0005488		GO:0016020,GO:0009579,GO:0005622
6R86-7		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
7O5B-6	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7YMM-12		GO:0009987,GO:0008152,GO:0015979	GO:0016020
4CE4-7		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
5H5U-4		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005622
6ZPO-8			GO:0005737,GO:0016020,GO:0005739,GO:0005622
8GZU-81			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7AS4-1	GO:0005515,GO:0005488,GO:0000166		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005856
6TRE-1	GO:0005515,GO:0005488		GO:0005886,GO:0016020
5Y6P-14		GO:0009987,GO:0008152,GO:0015979	
4C2M-3			GO:0005634,GO:0016020,GO:0005730,GO:0005622
6YWX-11			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6SWY-5	GO:0005515,GO:0005488		GO:0005737,GO:0005634,GO:0016020,GO:0005622
6W6L-7			GO:0005783,GO:0005737,GO:0005622
8IUE-3	GO:0003676,GO:0003677,GO:0005488,GO:0005515		GO:0016020,GO:0005634,GO:0005622,GO:0005730,GO:0005654
6GCS-4			GO:0005737,GO:0016020,GO:0005739,GO:0005622
8GZU-36	GO:0003676,GO:0003677,GO:0005488		GO:0005634,GO:0016020,GO:0005622
5KCR-18		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
6XTX-7	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005730,GO:0005737,GO:0005654
8GZU-51			GO:0005737,GO:0016020,GO:0005739,GO:0005622
8GZU-27			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7O6Y-8			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6ZVK-12		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
1SVA-1	GO:0005515,GO:0005488,GO:0005198		
3EXG-2	GO:0003824,GO:0005515,GO:0005488	GO:0008152	GO:0016020,GO:0005634,GO:0005622,GO:0005739,GO:0005737,GO:0005654
3J7Y-7	GO:0003723,GO:0003676,GO:0005488,GO:0000166		GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6C26-2	GO:0005515,GO:0005488		GO:0005783,GO:0016020,GO:0005737,GO:0005622
7AS4-7	GO:0005488,GO:0003824,GO:0016787,GO:0000166,GO:0005515		GO:0016020,GO:0005829,GO:0005634,GO:0005886,GO:0005622,GO:0005737,GO:0005654,GO:0005856
3J6X-17		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
3J6X-78		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
7Y3F-4		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
6HKT-1	GO:0003676,GO:0003677,GO:0005488,GO:0005515		GO:0016020,GO:0005829,GO:0005634,GO:0005886,GO:0005622,GO:0005737,GO:0005654
4WQ1-59	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
3JCO-1	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
7JG5-3	GO:0003824,GO:0005488,GO:0016787,GO:0008289		GO:0005886,GO:0016020
6WM2-3	GO:0005515,GO:0005488		GO:0005886,GO:0016020
5J8B-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
3J6X-71		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
6TT7-8	GO:0005488,GO:0008289		GO:0005737,GO:0016020,GO:0005739,GO:0005622
5ZJI-3		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
4Y28-4		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
2WSC-3		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
1PMA-1	GO:0003824,GO:0016787		GO:0005737,GO:0005622
8J07-13			GO:0005737,GO:0005856,GO:0005622
7TGH-1			GO:0005737,GO:0016020,GO:0005739,GO:0005622
4ADX-7	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6FEC-6	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
6ZA9-4	GO:0005488,GO:0008289		GO:0005737,GO:0016020,GO:0005739,GO:0005622
5OQJ-5	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737
6YWE-7		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
3J3W-5	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7YMM-11		GO:0009987,GO:0008152,GO:0015979	GO:0016020
3JC5-7	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654
3J7Y-6	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005622,GO:0005739,GO:0005737,GO:0005840
4ADX-6	GO:0003676,GO:0005488,GO:0003723		GO:0005840,GO:0005622
5JB3-7	GO:0005488,GO:0003824,GO:0016787,GO:0000166,GO:0005515	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	
3WMM-3	GO:0005515,GO:0005488		GO:0005886,GO:0016020
4PJ1-1	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0005737,GO:0016020,GO:0005739,GO:0005622
7A01-52		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6VLZ-7	GO:0003723,GO:0003676,GO:0005488,GO:0000166		GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6CGR-5	GO:0003676,GO:0003677,GO:0005488		
7UNG-3	GO:0005515,GO:0005488		GO:0005576,GO:0005737,GO:0005856,GO:0005622
4WCE-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7PAJ-9	GO:0005515,GO:0005488,GO:0000166	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0016020,GO:0005622
6YWE-2			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6VLZ-8	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005634,GO:0005622,GO:0005739,GO:0005730,GO:0005737,GO:0005840
4WQ1-32	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
8S9S-3	GO:0005515,GO:0005488		GO:0005783,GO:0016020,GO:0005737,GO:0005622
3J7A-2		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6HA1-6	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
5NP6-3		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	
6YBD-8	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0016020,GO:0005622
8CRX-4	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
6YWE-4			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
5D4Z-1	GO:0003676,GO:0003677,GO:0005488		
3PHF-1	GO:0005515,GO:0005488		GO:0016020
3J6B-9			GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6SPB-5		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7A01-62		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
3CW1-2	GO:0003676,GO:0005488,GO:0005515,GO:0003723		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654
1NKW-3	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
3J6X-77	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
3J6B-5	GO:0003676,GO:0005488,GO:0003723		GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6AHD-8	GO:0003676,GO:0003677,GO:0005488,GO:0005515		GO:0005634,GO:0016020,GO:0005654,GO:0005622
3J7Y-9	GO:0003676,GO:0005488,GO:0005515,GO:0003723	GO:0007049,GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
6VPV-2		GO:0009987,GO:0008152,GO:0015979	GO:0016020,GO:0009579,GO:0005622
6VE7-4	GO:0005488,GO:0000166		GO:0005737,GO:0005856,GO:0005622
1GAV-1	GO:0003676,GO:0005198,GO:0005488,GO:0003723		
5U8S-3	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677		GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654
6WM2-4	GO:0005515,GO:0005488		GO:0005886,GO:0016020
5LN3-2	GO:0003824,GO:0005515,GO:0005488,GO:0016787		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005576,GO:0005737,GO:0005654
7ODR-1		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0016020,GO:0005622,GO:0005739,GO:0005737,GO:0005840
3J6X-59	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
2ZJQ-5		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
8OUW-4	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0005634,GO:0016020,GO:0005622
7WU7-2	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005739,GO:0005737
4WQR-51		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
5UYK-15	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
6ZVK-22		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005783,GO:0005840,GO:0005737,GO:0005622
3J6X-62	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
7TGH-3			GO:0005737,GO:0016020,GO:0005739,GO:0005622
5KPS-19		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
6GCS-8			GO:0005737,GO:0016020,GO:0005739,GO:0005622
7UIL-2	GO:0005515,GO:0005488		GO:0005634,GO:0016020,GO:0005622
6VPV-9		GO:0009987,GO:0008152,GO:0015979	GO:0016020
4WQ1-19	GO:0016740,GO:0005488,GO:0003824,GO:0003676,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
3CW1-8	GO:0003676,GO:0005488,GO:0003723		
2J37-6		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
7ZS9-3			GO:0005634,GO:0016020,GO:0005622
7JU4-2	GO:0005515,GO:0005488		GO:0005737,GO:0005856,GO:0005622
1QGC-4			GO:0005886,GO:0016020,GO:0005576
5A9Q-8	GO:0005515,GO:0005488		GO:0016020,GO:0005829,GO:0005634,GO:0005622,GO:0005737,GO:0005654,GO:0005856
6ZVK-32	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
5KPS-21	GO:0003824,GO:0016787	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005737,GO:0005840,GO:0005622
8ESW-1			GO:0005737,GO:0016020,GO:0005739,GO:0005622
6C0F-7			GO:0005634,GO:0016020,GO:0005730,GO:0005622
6IJO-2		GO:0009628,GO:0008152,GO:0015979,GO:0009987,GO:0009416	GO:0016020,GO:0009579,GO:0009536,GO:0009507,GO:0005622,GO:0005737
7P5Z-7	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0005515,GO:0003677	GO:0007049,GO:0009987	GO:0016020,GO:0005634,GO:0005622,GO:0005737,GO:0005654
6O8W-5		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
4WQ1-52	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005840,GO:0005622
3J6X-74		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
7QGN-2	GO:0003676,GO:0005488,GO:0003723	GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	
8D9R-6	GO:0005488,GO:0003824,GO:0003676,GO:0016787,GO:0000166,GO:0003723,GO:0005515		GO:0016020,GO:0005829,GO:0005886,GO:0005622,GO:0005737
3J6X-60		GO:0019538,GO:0008152,GO:0009987,GO:0006412,GO:0009058	GO:0005829,GO:0005737,GO:0005840,GO:0005622
